accy,accz,accx,gyroy,gyroz,gyrox
-0.0,-0.00375,0.0625,-0.0,-0.0,-0.0
-0.0,-0.0054545454545454,0.0536363636363636,-0.0,-0.0,-0.0
-0.0021428571428571,-0.0078571428571428,0.0578571428571428,-0.0,-0.0,-0.0
-0.0018181818181818,-0.0036363636363636,0.0463636363636363,-0.0,-0.0,-0.0
-0.0092307692307692,-0.0007692307692307,0.0492307692307692,-0.0,-0.0,-0.0
-0.0025,-0.0033333333333333,0.0533333333333333,-0.0,-0.0,-0.0
-0.0,-0.01,0.051,-0.0,-0.0,-0.0
-0.0057142857142857,-0.0064285714285714,0.0514285714285714,-0.0,-0.0,-0.0
-0.0013333333333333,-0.01,0.0506666666666666,-0.0,-0.0,-0.0
-0.0,-0.0027272727272727,0.0563636363636363,-0.0,-0.0,-0.0
-0.0092307692307692,-0.0092307692307692,0.0484615384615384,-0.0,-0.0015384615384615,-0.0
-0.005,-0.01,0.052,-0.0,-0.0,-0.0
-0.008125,-0.01,0.0581249999999999,-0.0,-0.0,-0.0
-0.0036363636363636,-0.01,0.0518181818181818,-0.0,-0.0,-0.0
-0.0084615384615384,-0.0192307692307692,0.0423076923076923,-0.0,-0.0,-0.0
-0.007,-0.011,0.052,-0.0,-0.0,-0.0
-0.00375,-0.00625,0.051875,-0.0,-0.0,-0.0
-0.0063636363636363,-0.0045454545454545,0.05,-0.0,-0.0,-0.0
-0.0076923076923076,-0.0092307692307692,0.0592307692307692,-0.0,-0.0,-0.0
-0.0041666666666666,-0.01,0.0566666666666666,-0.0,-0.0,-0.0
-0.003076923076923,-0.01,0.05,-0.0,-0.0,-0.0
-0.009090909090909,-0.01,0.0463636363636363,-0.0,-0.0,-0.0
-0.0093333333333333,-0.0013333333333333,0.0453333333333333,-0.0,-0.0,-0.0
-0.0041666666666666,-0.0041666666666666,0.0558333333333333,-0.0,-0.0,-0.0
-0.0083333333333333,-0.0083333333333333,0.05,-0.0,-0.0,-0.0
-0.0,-0.0041666666666666,0.0458333333333333,-0.0,-0.0,-0.0
-0.0071428571428571,-0.0021428571428571,0.0571428571428571,-0.0,-0.0,-0.0
-0.0163636363636363,-0.01,0.05,-0.0,-0.0,-0.0
-0.0085714285714285,-0.01,0.0428571428571428,-0.0,-0.0,-0.0
-0.0045454545454545,-0.0145454545454545,0.0581818181818181,-0.0,-0.0,-0.0
-0.0071428571428571,-0.01,0.0507142857142857,-0.0,-0.0,-0.0
-0.0,-0.0054545454545454,0.0454545454545454,-0.0,-0.0,-0.0
-0.0,-0.01,0.0478571428571428,-0.0,-0.0,-0.0
-0.0045454545454545,-0.0054545454545454,0.0481818181818181,-0.0,-0.0,-0.0
-0.0092307692307692,-0.0038461538461538,0.0515384615384615,-0.0,-0.0,-0.0
-0.0058333333333333,-0.0116666666666666,0.045,-0.0,-0.0,-0.0
-0.01,-0.0046153846153846,0.0569230769230769,-0.0,-0.0,-0.0
-0.0025,-0.0124999999999999,0.0416666666666666,-0.0,-0.0,-0.0
-0.0076923076923076,-0.0084615384615384,0.0423076923076923,-0.0,-0.0,-0.0
-0.0075,-0.0075,0.05,-0.0,-0.0,-0.0
-0.01,-0.0009090909090909,0.05,-0.0,-0.0,-0.0
-0.0128571428571428,-0.0092857142857142,0.05,-0.0,-0.0,-0.0
-0.0092307692307692,-0.0107692307692307,0.0576923076923076,-0.0,-0.0,-0.0
-0.0,-0.01,0.05,-0.0,-0.0,-0.0
-0.0,-0.0084615384615384,0.05,-0.0,-0.0,-0.0
-0.0045454545454545,-0.0072727272727272,0.05,-0.0,-0.0,-0.0
-0.0,-0.01,0.05,-0.0,-0.0,-0.0
-0.006,-0.01,0.05,-0.0,-0.0,-0.0
-0.01,-0.0023076923076923,0.0484615384615384,-0.0,-0.0,-0.0
-0.0058333333333333,-0.0058333333333333,0.0433333333333333,-0.0,-0.0,-0.0
-0.01,-0.001,0.05,-0.0,-0.0,-0.0
-0.0023076923076923,-0.0015384615384615,0.0461538461538461,-0.0,-0.0,-0.0
-0.0113333333333333,-0.0006666666666666,0.0486666666666666,-0.0,-0.0,-0.0
-0.0083333333333333,-0.005,0.0433333333333333,-0.0,-0.0,-0.0
-0.0023076923076923,-0.0007692307692307,0.05,-0.0,-0.0,-0.0
