accy,accz,accx,gyroy,gyroz,gyrox
-0.0071428571428571,-0.0078571428571428,0.045,-0.0,-0.0,-0.0
-0.0033333333333333,-0.012,0.04,-0.0,-0.0,-0.0
-0.0027272727272727,-0.0054545454545454,0.0472727272727272,-0.0,-0.0,-0.0
-0.0007692307692307,-0.01,0.0423076923076923,-0.0,-0.0,-0.0
-0.0033333333333333,-0.01,0.0433333333333333,-0.0,-0.0,-0.0
-0.0,-0.01,0.0481818181818181,-0.0,-0.0,-0.0
0.0006666666666666,-0.0073333333333333,0.0506666666666666,-0.0,-0.0,-0.0
-0.0011111111111111,-0.0088888888888888,0.04,-0.0,-0.0,-0.0
-0.0086666666666666,-0.0033333333333333,0.0433333333333333,-0.0,-0.0,-0.0
-0.0092307692307692,-0.0092307692307692,0.0407692307692307,-0.0,-0.0,-0.0
-0.0045454545454545,-0.0018181818181818,0.0454545454545454,-0.0,-0.0,-0.0
-0.0071428571428571,-0.01,0.0492857142857142,-0.0,-0.0,-0.0
-0.0041666666666666,-0.0033333333333333,0.0466666666666666,-0.0,-0.0,-0.0
-0.0007692307692307,-0.0007692307692307,0.0423076923076923,-0.0,-0.0,-0.0
-0.01,-0.0075,0.0458333333333333,-0.0,-0.0,-0.0
-0.01,-0.0,0.042,-0.0,-0.0,-0.0
-0.01,-0.00875,0.045625,-0.0,-0.0,-0.0
-0.0108333333333333,-0.0091666666666666,0.0491666666666666,-0.0,-0.0,-0.0
-0.0091666666666666,-0.0025,0.0425,-0.0,-0.0,-0.0
-0.0092307692307692,-0.0015384615384615,0.0338461538461538,-0.0,-0.0,-0.0
-0.0041666666666666,-0.0066666666666666,0.04,-0.0,-0.0,-0.0
-0.0007692307692307,-0.0092307692307692,0.0476923076923076,-0.0,-0.0,-0.0
-0.0075,-0.0066666666666666,0.0441666666666666,-0.0,-0.0,-0.0
-0.0081818181818181,-0.01,0.0481818181818181,-0.0,-0.0,-0.0
-0.0078571428571428,-0.0064285714285714,0.0442857142857142,-0.0,-0.0,-0.0
-0.0,-0.01,0.0481818181818181,-0.0,-0.0,-0.0
-0.0057142857142857,-0.0064285714285714,0.0428571428571428,-0.0,-0.0,-0.0
-0.0092307692307692,-0.0092307692307692,0.05,-0.0,-0.0,-0.0
