ax,ay,az,wx,wy,wz
-2.0941666666666667,-2.005,0.12166666666666666,-0.06583333333333334,0.6133333333333333,-0.5775
-2.06,-1.6714285714285715,0.2742857142857143,-0.07428571428571429,0.7378571428571429,-0.3885714285714285
-0.6909090909090909,-1.2309090909090907,0.48363636363636364,0.015454545454545453,0.7227272727272727,-0.39545454545454545
-0.265,-1.2185714285714284,0.4985714285714286,0.11214285714285714,0.6485714285714286,-0.4735714285714286
-0.8490909090909091,-1.3863636363636365,0.5563636363636363,0.13818181818181818,0.6254545454545455,-0.37545454545454543
-1.0338461538461539,-1.51,0.7323076923076923,0.09538461538461539,0.6838461538461539,-0.2469230769230769
-1.3145454545454545,-1.6781818181818182,0.9709090909090908,0.09090909090909091,0.6845454545454546,-0.1690909090909091
-1.8764285714285713,-1.7735714285714288,1.27,0.1457142857142857,0.5928571428571429,-0.060714285714285714
-2.325833333333333,-1.7466666666666668,1.7116666666666667,0.26916666666666667,0.5125000000000001,0.09083333333333334
-2.046923076923077,-1.259230769230769,1.7307692307692308,0.4376923076923077,0.4776923076923077,0.19615384615384615
-1.12,-0.4854545454545454,1.2372727272727273,0.4890909090909091,0.46818181818181814,0.1990909090909091
-0.37214285714285716,0.23714285714285716,1.0492857142857142,0.4257142857142857,0.4714285714285714,0.09642857142857143
0.18833333333333332,0.8675,1.1491666666666667,0.345,0.4891666666666667,-0.06166666666666667
0.34214285714285714,1.2285714285714284,1.0957142857142856,0.29071428571428576,0.47714285714285715,-0.17214285714285715
0.3609090909090909,1.3927272727272728,0.8545454545454546,0.18818181818181817,0.4945454545454545,-0.22636363636363638
0.3641666666666667,1.5216666666666667,1.1824999999999999,0.03333333333333333,0.5975,-0.26166666666666666
0.6463636363636364,1.6454545454545453,2.4481818181818182,-0.12090909090909091,0.7390909090909091,-0.33636363636363636
1.325625,1.653125,3.796875,-0.15125,0.8575,-0.47000000000000003
1.6909090909090907,1.2645454545454546,4.254545454545454,0.03363636363636364,0.9054545454545455,-0.6681818181818181
-0.015384615384615382,1.1,2.673076923076923,0.46,0.9384615384615385,-0.6507692307692307
-2.6427272727272726,2.369090909090909,-0.7636363636363637,0.8509090909090908,0.8218181818181818,-0.44909090909090904
-3.0228571428571427,4.031428571428571,-4.4835714285714285,0.8257142857142857,0.3828571428571429,-0.5178571428571429
-1.8041666666666665,5.44,-7.5058333333333325,0.29583333333333334,-0.01833333333333333,-0.8675
-0.3676923076923077,3.7523076923076926,-6.886923076923077,-0.4107692307692308,-0.3107692307692308,-1.0884615384615386
-0.7091666666666666,0.2558333333333333,-4.448333333333333,-0.8491666666666666,-0.49583333333333335,-0.9158333333333334
-2.285,-1.4858333333333331,-2.6591666666666667,-1.0458333333333334,-0.4691666666666667,-0.4483333333333333
-3.166923076923077,-2.256923076923077,-1.1892307692307693,-1.0723076923076924,-0.25384615384615383,0.28615384615384615
-1.9107692307692308,-1.79,-0.27692307692307694,-0.8461538461538461,-0.23461538461538461,0.963076923076923
0.08750000000000001,-1.1108333333333333,-0.06,-0.5766666666666667,-0.38999999999999996,1.2275
1.8535714285714284,-0.5742857142857144,-0.0014285714285714218,-0.31428571428571433,-0.5421428571428571,0.995
2.193,-0.861,0.14300000000000002,-0.07,-0.619,0.604
1.165,-1.653,-0.178,0.09,-0.666,0.42400000000000004
-0.09062500000000001,-2.42625,-0.94875,0.141875,-0.733125,0.33125
-0.6115384615384616,-2.6046153846153848,-1.6892307692307693,0.0023076923076923075,-0.7630769230769231,0.40923076923076923
-0.5175,-2.0775,-1.6883333333333332,-0.12416666666666666,-0.7641666666666667,0.5850000000000001
0.009166666666666656,-0.9908333333333333,-1.3041666666666665,-0.1991666666666667,-0.7025,0.6941666666666667
1.4469230769230768,0.46,-0.8861538461538461,-0.2630769230769231,-0.6061538461538462,0.6853846153846154
2.3346153846153843,0.4423076923076923,-0.4123076923076923,-0.28692307692307695,-0.583076923076923,0.4123076923076923
0.9183333333333333,-0.7275,0.19166666666666668,-0.2941666666666667,-0.535,0.21833333333333335
0.08307692307692308,-2.1515384615384616,0.676923076923077,-0.32923076923076927,-0.5161538461538462,0.13692307692307693
0.12636363636363637,-3.1209090909090906,1.1663636363636363,-0.2609090909090909,-0.5554545454545455,0.07
0.5535714285714286,-3.347142857142857,1.372142857142857,-0.019285714285714288,-0.5742857142857142,-0.025714285714285714
1.185,-2.99,1.4249999999999998,0.2658333333333333,-0.56,-0.1991666666666667
1.2976923076923077,-2.323846153846154,1.2138461538461538,0.3930769230769231,-0.5423076923076924,-0.3723076923076923
0.8133333333333334,-1.5,1.0,0.4283333333333333,-0.505,-0.415
0.16083333333333333,-0.5291666666666667,1.0091666666666665,0.42250000000000004,-0.4666666666666666,-0.3016666666666667
-0.721,0.8639999999999999,1.279,0.4109999999999999,-0.533,-0.099
-1.1441176470588235,1.7829411764705885,1.54,0.43470588235294116,-0.6158823529411765,0.1411764705882353
-1.0990909090909091,2.1954545454545458,1.3118181818181818,0.42363636363636364,-0.6272727272727273,0.24000000000000002
-1.043076923076923,2.253076923076923,0.9915384615384616,0.2030769230769231,-0.7146153846153845,0.27307692307692305
-1.1363636363636365,2.233636363636364,1.9463636363636363,-0.15181818181818182,-0.8481818181818181,0.3436363636363637
-1.1809999999999998,2.16,3.372,-0.356,-0.881,0.445
